"year","rank","city","med_park_size_data","med_park_size_points","park_pct_city_data","park_pct_city_points","pct_near_park_data","pct_near_park_points","spend_per_resident_data","spend_per_resident_points","basketball_data","basketball_points","dogpark_data","dogpark_points","playground_data","playground_points","rec_sr_data","rec_sr_points","restroom_data","restroom_points","splashground_data","splashground_points","amenities_points","total_points","total_pct","city_dup","park_benches"
2020,70,"Nashville",16.7,50,"11%",26,"43%",13,"$83",42,3.8,54,1.2,41,2.1,28,0.8,51,0.9,25,0.4,13,35.3,166,41.6,"Nashville",NA
2020,72,"Durham",8.3,39,"4%",7,"51%",26,"$76",38,4.2,60,1.5,55,2,25,0.7,47,3,94,1.5,53,55.7,166,41.4,"Durham",NA
2020,73,"Detroit",2.4,9,"6%",13,"80%",70,"$80",41,2.6,31,0.9,30,2.7,40,0.5,32,0.5,12,1.2,43,31.3,164,41.1,"Detroit",NA
2020,74,"Glendale",4.8,21,"6%",12,"75%",62,"$43",18,4.9,73,1.2,44,3.9,69,0.6,41,0.7,19,1.6,59,50.8,164,41,"Glendale",NA
2020,75,"San Antonio",10,47,"11%",28,"43%",13,"$89",46,1.7,13,1,32,1.8,20,0.8,51,1.5,45,0.5,15,29.3,163,40.8,"San Antonio",NA
2020,76,"Corpus Christi",3.3,14,"9%",20,"75%",63,"$58",27,2.7,32,0.6,15,4.3,78,0.7,47,1.4,41,0.6,20,38.8,163,40.7,"Corpus Christi",NA
2020,77,"Toledo",5.5,25,"6%",14,"81%",72,"$40",16,3.2,41,0.7,21,3.9,69,0.4,26,0.6,18,0.7,24,33.2,160,40,"Toledo",NA
2020,78,"Houston",4.7,21,"12%",29,"61%",40,"$82",42,2.6,30,0.7,18,1.9,21,0.6,40,0.7,19,1.1,38,27.7,160,39.9,"Houston",NA
2020,79,"Jacksonville",5.8,27,"14%",37,"35%",1,"$66",32,2.4,26,0.5,12,3.5,60,1.3,90,6,100,2.2,80,61.3,158,39.6,"Jacksonville",NA
2020,80,"Wichita",11.3,50,"5%",11,"54%",29,"$67",33,1,1,1,34,2.2,28,0.4,24,2,62,1.5,55,34,157,39.3,"Wichita",NA
2020,81,"Louisville",7.5,35,"8%",19,"38%",6,"$69",34,2.7,33,1.3,46,3.3,55,0.6,36,3.6,100,6,100,61.7,156,38.9,"Louisville",NA
